** Strip #      Rate (Hz)
  0.000000      0.000000    
  1.000000      0.000000    
  2.000000      0.000000    
  3.000000      0.000000    
  4.000000      0.000000    
  5.000000      1174.435    
  6.000000      1139.131    
  7.000000      1118.030    
  8.000000      1124.477    
  9.000000      1071.917    
  10.00000      1092.513    
  11.00000      1097.540    
  12.00000      1122.693    
  13.00000      1104.164    
  14.00000      1111.326    
  15.00000      1063.068    
  16.00000      1047.722    
  17.00000      1026.265    
  18.00000      1067.343    
  19.00000      1082.812    
  20.00000      1135.814    
  21.00000      1123.469    
  22.00000      1078.654    
  23.00000      1051.865    
  24.00000      1116.441    
  25.00000      1091.188    
  26.00000      1054.874    
  27.00000      1180.214    
  28.00000      1125.624    
  29.00000      1159.392    
  30.00000      1171.687    
  31.00000      1211.495    
  32.00000      1205.074    
  33.00000      1241.782    
  34.00000      1246.739    
  35.00000      1222.901    
  36.00000      1294.546    
  37.00000      1305.380    
  38.00000      1327.353    
  39.00000      1366.347    
  40.00000      1328.855    
  41.00000      1424.007    
  42.00000      1469.901    
  43.00000      1443.645    
  44.00000      1426.718    
  45.00000      1519.801    
  46.00000      1576.524    
  47.00000      1630.604    
  48.00000      1607.586    
  49.00000      1652.121    
  50.00000      1628.496    
  51.00000      1722.258    
  52.00000      1680.170    
  53.00000      1774.764    
  54.00000      1849.358    
  55.00000      1907.233    
  56.00000      1909.182    
  57.00000      1922.244    
  58.00000      1895.122    
  59.00000      2097.157    
  60.00000      2034.837    
  61.00000      2051.849    
  62.00000      925.8422    
  63.00000      23.68840    
  64.00000      7.179533    
  65.00000      5.833810    
  66.00000      1.935759    
  67.00000     0.3211448    
  68.00000      3.503382    
  69.00000      1.251010    
  70.00000     0.4037060    
  71.00000     0.1455667    
  72.00000     0.7292733E-01
  73.00000      1.140338    
  74.00000      1.081531    
  75.00000     0.4761644E-01
  76.00000      2.275148    
  77.00000      1.057877    
  78.00000     0.2117849    
  79.00000     0.9735922    
  80.00000     0.6061696    
  81.00000     0.4948801    
  82.00000     0.2860521    
  83.00000     0.3859253    
  84.00000     0.2191392    
  85.00000     0.3414895    
  86.00000      2.482396    
  87.00000      1.724868    
  88.00000     0.5943345    
  89.00000     0.2397092    
  90.00000     0.2958680E-01
  91.00000      1.298292    
  92.00000      2.566728    
  93.00000      1.198797    
  94.00000     0.6182966    
  95.00000     0.5418593    
  96.00000      1.196002    
  97.00000      0.000000    
  98.00000      0.000000    
  99.00000      0.000000    
